A B C
628331966747 0 0
206059 2.678235 6283.075850
4303 2.6351 12566.1517
425 1.590 3.523
119 5.796 26.298
109 2.966 1577.344
93 2.59 18849.23
72 1.14 529.69
68 1.87 398.15
67 4.41 5507.55
59 2.89 5223.69
56 2.17 155.42
45 .40 796.30
36 .47 775.52
29 2.65 7.11
21 5.34 .98
19 1.85 5486.78
19 4.97 213.30
17 2.99 6275.96
16 .03 2544.31
16 1.43 2146.17
15 1.21 10977.08
12 2.83 1748.02
12 3.26 5088.63
12 5.27 1194.45
12 2.08 4694.00
11 .77 553.57
10 1.30 6286.60
10 4.24 1349.87
9 2.70 242.73
9 5.64 951.72
8 5.30 2532.87
6 2.65 9437.76
6 4.67 4690.48
